Country Name,Pop 2013,Life Exp 2013
Aruba,102921,75.33217073
Andorra,75902,
Afghanistan,30682500,60.93141463
Angola,23448202,51.86617073
Albania,2897366,77.5372439
United Arab Emirates,9039978,77.13129268
Argentina,42538304,76.18729268
Armenia,2992192,74.5407561
American Samoa,55302,
Antigua and Barbuda,89985,75.82929268
Australia,23125868,82.19756098
Austria,8479375,80.8902439
Azerbaijan,9416801,70.69314634
Burundi,10465959,54.09719512
Belgium,11182817,80.38536585
Benin,10322232,59.28756098
Burkina Faso,17084554,56.27502439
Bangladesh,157157394,70.69339024
Bulgaria,7265115,74.46585366
Bahrain,1349427,76.66987805
"Bahamas, The",377841,75.07256098
Bosnia and Herzegovina,3823533,76.27990244
Belarus,9466000,72.47073171
Belize,344193,73.90487805
Bermuda,65001,80.57243902
Bolivia,10399931,67.21736585
Brazil,204259377,73.88595122
Barbados,282503,75.29641463
Brunei,411499,78.56643902
Bhutan,754637,68.30231707
Botswana,2176510,47.40560976
Central African Republic,4710678,50.13680488
Canada,35158304,81.40112195
Switzerland,8089346,82.74878049
Channel Islands,162138,80.25953659
Chile,17575833,79.83680488
China,1357380000,75.35302439
Cote d'Ivoire,21622490,50.75741463
Cameroon,22211166,55.04180488
democratic republic of congo,4394334,58.77
Colombia,47342363,73.97882927
Comoros,751697,60.8574878
Cabo Verde,507258,74.87068293
Costa Rica,4706433,79.921
Cuba,11362505,79.23926829
Curacao,153821,
Cayman Islands,58369,
Cyprus,1141652,79.80431707
Czech Republic,10514272,78.27804878
Germany,80645605,81.04390244
Djibouti,864554,61.78695122
Dominica,72005,
Denmark,5614932,80.30243902
Dominican Republic,10281408,73.45095122
Algeria,38186135,71.00965854
Ecuador,15661312,76.46507317
egypt,87613909,71.13292683
Eritrea,4998824,62.75463415
Spain,46620045,82.42682927
Estonia,1317997,76.42439024
Ethiopia,94558374,63.61734146
Finland,5438972,80.83170732
Fiji,880487,69.923
France,65925498,81.96829268
Faeroe Islands,48292,81.3
"Micronesia, Fed. Sts.",103718,68.96097561
Gabon,1650351,63.441
United Kingdom,64106779,80.95609756
Georgia,4487200,74.0795122
Ghana,26164432,61.09863415
Guinea,11948726,56.09165854
"Gambia, The",1866878,58.83134146
Guinea-Bissau,1757138,54.27170732
Equatorial Guinea,797082,53.11456098
Greece,11027549,80.63414634
Grenada,105902,72.74134146
Greenland,56483,
Guatemala,15690793,71.99282927
Guam,165121,78.87512195
Guyana,761033,66.20790244
"Hong Kong SAR, China",7187500,83.83170732
Honduras,7849059,73.80304878
Croatia,4255700,77.12682927
Haiti,10431249,63.05885366
Hungary,9893082,75.26829268
Indonesia,251268276,70.81743902
Isle of Man,86462,
India,1279498874,66.4562439
Ireland,4598294,81.04390244
Iran,77152445,74.0687561
Iraq,33781385,69.47168293
Iceland,323764,83.11707317
Israel,8059500,82.05609756
Italy,60233948,82.2902439
Jamaica,2714734,73.46892683
Jordan,6460000,73.90141463
Japan,127338621,83.33195122
Kazakhstan,17035275,70.45
Kenya,43692881,61.68397561
Kyrgyz Republic,5719600,70.20243902
Cambodia,15078564,71.74756098
Kiribati,108544,68.84907317
St. Kitts and Nevis,54301,
palestine,5052000000,74
south korea,50219669,81.4597561
Kosovo,1818117,70.79756098
Kuwait,3593689,74.4627561
Lao PDR,6579985,68.24941463
Lebanon,4493438,80.12887805
Liberia,4293692,60.53187805
Libya,6265987,75.36168293
St. Lucia,182305,74.79195122
Liechtenstein,37040,82.38292683
Sri Lanka,20483000,74.24029268
Lesotho,2083061,49.33146341
Lithuania,2957689,74.16341463
Luxembourg,543360,81.79756098
Latvia,2012647,73.9804878
"Macao SAR, China",568056,80.3437561
St. Martin (French part),31264,79.17073171
Morocco,33452686,70.87212195
Monaco,37528,
Moldova,3558566,68.8115122
Madagascar,22924557,64.69139024
Maldives,351111,77.93536585
Mexico,123740109,77.35402439
Marshall Islands,52786,
macedonia,2072543,75.18802439
Mali,16592097,55.0135122
Malta,423374,80.74634146
Myanmar,52983829,65.09968293
Montenegro,621207,74.75836585
Mongolia,2859174,67.54819512
Northern Mariana Islands,53869,
Mozambique,26467180,50.17336585
Mauritania,3872684,61.5117561
Mauritius,1258653,74.46
Malawi,16190126,55.23470732
Malaysia,29465372,75.01626829
Namibia,2346592,64.34387805
New Caledonia,262000,77.12195122
Niger,18358863,58.44270732
Nigeria,172816517,52.49978049
Nicaragua,5945646,74.78817073
Netherlands,16804432,81.10487805
Norway,5079623,81.45121951
Nepal,27834981,68.40385366
New Zealand,4442100,81.40731707
Oman,3906912,76.85202439
Pakistan,181192646,66.58536585
Panama,3805683,77.57895122
Peru,30565461,74.81460976
Philippines,97571676,68.7144878
Palau,20919,
Papua New Guinea,7308864,62.43073171
Poland,38040196,76.84878049
Puerto Rico,3595839,78.71119512
"Korea, Dem. Rep.",24895705,69.80695122
Portugal,10457295,80.37317073
Paraguay,6465669,72.2734878
French Polynesia,276766,76.33904878
Qatar,2101288,78.60690244
Romania,19983693,74.46341463
Russian,143506911,71.07317073
Rwanda,11078095,63.99397561
Saudi Arabia,30201051,75.70336585
Sudan,38515095,62.0444878
Senegal,14221041,63.35073171
Singapore,5399200,82.34634146
Solomon Islands,560685,67.71690244
Sierra Leone,6178859,45.55095122
El Salvador,6089644,72.33892683
San Marino,31391,
Somalia,10268157,55.0245122
Serbia,7164132,75.13658537
South Sudan,11453810,55.24121951
Sao Tome and Principe,182386,66.26097561
Suriname,533450,71.03163415
Slovakia,5413393,76.26097561
Slovenia,2059953,80.27804878
Sweden,9600379,81.70487805
Swaziland,1250641,48.93792683
Sint Maarten (Dutch part),36607,
Seychelles,89900,74.22682927
Syrian Arab Republic,21789415,74.71578049
Turks and Caicos Islands,33103,
Chad,13145788,51.15907317
Togo,6928719,56.4885122
Thailand,67451422,74.36507317
Tajikistan,8111894,67.37460976
Turkmenistan,5240088,65.46258537
Timor-Leste,1180069,67.52236585
Tonga,105139,72.64231707
Trinidad and Tobago,1348240,69.92521951
Tunisia,10886500,73.64634146
Turkey,75010202,75.17595122
Tuvalu,9876,
Taiwan,,
Tanzania,50213457,61.49314634
Uganda,36573387,59.19
Ukraine,45489600,71.1595122
Uruguay,3407969,77.05141463
United States,316497531,78.84146341
Uzbekistan,30243200,68.22758537
St. Vincent and the Grenadines,109327,72.50097561
Venezuela,30276045,74.64309756
Virgin Islands (U.S.),104737,79.62439024
Vietnam,89708900,75.7564878
Vanuatu,253165,71.68682927
West Bank and Gaza,4169506,73.20334146
Samoa,190390,73.26487805
Yemen,25533217,63.08958537
South Africa,53157490,56.73658537
Congo,72552861,49.94385366
Zambia,15246086,58.09278049
Zimbabwe,14898092,59.7734878
